analyte,input_mode,central_area_fraction_mean,central_attention_fraction_mean,central_attention_fraction_std,central_attention_enrichment_mean,center_occlusion_change_mean,center_occlusion_change_std,outer_occlusion_change_mean,outer_occlusion_change_std,center_occlusion_change_per_10pct_area_mean,center_occlusion_change_per_10pct_area_std,outer_occlusion_change_per_10pct_area_mean,outer_occlusion_change_per_10pct_area_std
glucose,full_patch,0.26946770334928233,0.44560302148666675,0.01622782627966748,1.6537681608222445,2.129471298873423,1.3980219808131031,2.7969766479581546,1.9957630222218061,0.7894954680253187,0.5188584716519798,0.38297902963078995,0.2734894842600335
glucose,roi_masked,0.26946770334928233,0.7531631689921521,0.026002472229494502,2.795117771726055,4.4622457867839085,1.4106330425016902,0.07418511357503646,0.029602218389695942,1.6569616536200038,0.5220845882959698,0.010154694174327577,0.004060610218273778
ketone,full_patch,0.27029748035453216,0.4042458676919341,0.02377487275694684,1.4952851000852065,0.620275345047365,0.27331465636013313,1.260602407833822,0.8565534576922261,0.2291210715371402,0.10046374808793754,0.17286907035311233,0.11724100600522798
ketone,roi_masked,0.27029748035453216,0.7833210667418806,0.030494471791932876,2.8981486368781497,1.4993285173900486,0.48761723809833724,0.021725274459863886,0.008426992900883118,0.5555315840410489,0.18184296999070762,0.002978379757057738,0.0011602329378412341
