analyte,input_mode,outer_fold,patch_id,concentration_order,actual_concentration,prediction_raw,prediction_reported,absolute_error,central_area_fraction,central_attention_fraction,central_attention_enrichment,positive_central_attention_fraction,center_occlusion_change,outer_occlusion_change,center_occlusion_change_per_10pct_area,outer_occlusion_change_per_10pct_area,prediction_reproduction_difference
glucose,roi_masked,1,glucose_01_c0_wA06,1,0.0,0.32893727111523763,0.3289372711152376,0.3289372711152376,0.2722439236111111,0.7725675702095032,2.8377770932844886,0.0,4.367995080062305,0.12375286252746953,1.6044417161360784,0.017004717176877283,5.551115123125783e-17
glucose,roi_masked,1,glucose_01_c0_wA11,1,0.0,0.18694351090373207,0.186943510903732,0.186943510903732,0.2679036458333333,0.777114748954773,2.9007247980426034,0.0,4.489212734333715,0.12269972969673759,1.6756818371656348,0.016760052006597505,5.551115123125783e-17
glucose,roi_masked,1,glucose_01_c0_wA12,1,0.0,-0.2988891599445793,0.0,0.0,0.2705078125,0.7757605910301208,2.867793665035537,0.0,4.9844351842846075,0.08601606727944677,1.8426215266091837,0.011791225287035275,0.0
glucose,roi_masked,1,glucose_01_c0_wC01,1,0.0,0.31104794858792495,0.3110479485879249,0.3110479485879249,0.2670355902777778,0.762896716594696,2.8569102560490527,0.0,4.495691168537126,0.11143538908645034,1.683555051167743,0.015203383357819785,5.551115123125783e-17
glucose,roi_masked,1,glucose_01_c0_wC03,1,0.0,0.19682862575762883,0.1968286257576288,0.1968286257576288,0.2713758680555556,0.7767492532730103,2.8622635418488853,0.0,4.4842700275968195,0.12226852256793563,1.6524203348393556,0.01678074019338935,2.7755575615628914e-17
glucose,roi_masked,1,glucose_01_c0_wC09,1,0.0,0.6358456602213085,0.6358456602213085,0.6358456602213085,0.2679036458333333,0.7794588804244995,2.9094747031155075,0.0,4.067386226957373,0.09879421167893554,1.5182272769396172,0.013494700679310358,0.0
glucose,roi_masked,1,glucose_01_c0_wD02,1,0.0,0.384861212466145,0.384861212466145,0.384861212466145,0.2648654513888889,0.7760840654373169,2.9301068197748106,0.0,4.287140408823073,0.12624056533518413,1.6186106516883836,0.017172443544340322,0.0
glucose,roi_masked,1,glucose_01_c0_wD03,1,0.0,0.12711401948226086,0.1271140194822608,0.1271140194822608,0.2683376736111111,0.775911271572113,2.891548030250139,0.0,4.5629938716882,0.08019258116138506,1.7004671055996141,0.010960326679272206,5.551115123125783e-17
glucose,roi_masked,1,glucose_01_c0_wE02,1,0.0,-0.04254986022703289,0.0,0.0,0.2744140625,0.7726956605911255,2.815801980232429,0.0,4.720100934110399,0.09318971348408844,1.7200652514338253,0.012843373702248528,9.020562075079397e-17
glucose,roi_masked,1,glucose_01_c0_wE03,1,0.0,0.2967492316816074,0.2967492316816074,0.2967492316816074,0.2670355902777778,0.7756856679916382,2.90480256652212,0.0,4.3942435697785704,0.11621569637028983,1.6455647598163068,0.015855571543280402,0.0
glucose,roi_masked,1,glucose_01_c0_wE08,1,0.0,-0.0577173619487219,0.0,0.0,0.2709418402777778,0.7752790451049805,2.861422378729475,0.0,4.770830432152679,0.1218807148639165,1.7608319288233518,0.016717557198777416,0.0
glucose,roi_masked,1,glucose_01_c0_wE10,1,0.0,0.3907460152027058,0.3907460152027058,0.3907460152027058,0.2683376736111111,0.7929806113243103,2.955159447620236,0.0,4.3303388997435155,0.10453448238617558,1.6137647917523752,0.01428725774389729,0.0
glucose,roi_masked,1,glucose_01_c0_wE11,1,0.0,0.02920252821380931,0.0292025282138093,0.0292025282138093,0.2713758680555556,0.7894156575202942,2.908938304560988,0.0,4.687411213252678,0.12426927586639458,1.727276359109823,0.017055333527694602,1.0408340855860843e-17
glucose,roi_masked,1,glucose_01_c0_wF01,1,0.0,0.585118103208349,0.585118103208349,0.585118103208349,0.2731119791666667,0.7570807337760925,2.772052460262403,1.3703843251278158e-05,4.3323767690064585,0.0902031163713044,1.5863005285325196,0.01240949276724797,0.0
glucose,roi_masked,1,glucose_01_c0_wF12,1,0.0,0.22439801081073796,0.2243980108107379,0.2243980108107379,0.2683376736111111,0.7781804800033569,2.9000045708495503,0.0,4.473959130542218,0.10644126995758185,1.667286993411932,0.014547868069539886,5.551115123125783e-17
glucose,roi_masked,1,glucose_01_c0_wG06,1,0.0,0.2282370681846162,0.2282370681846162,0.2282370681846162,0.2744140625,0.7951998710632324,2.897810206294484,0.0,4.493609887406904,0.09027637778561726,1.6375290123504163,0.01244185879575667,0.0
glucose,roi_masked,1,glucose_01_c0_wG09,1,0.0,0.2542572132209493,0.2542572132209493,0.2542572132209493,0.2687717013888889,0.7896660566329956,2.9380550577027402,0.0,4.467158149524404,0.09793219558119137,1.662064170610291,0.01339283446321798,0.0
glucose,roi_masked,1,glucose_01_c0_wG11,1,0.0,0.0688437220740763,0.0688437220740763,0.0688437220740763,0.2679036458333333,0.778470516204834,2.905785450523998,0.0,4.632746676425175,0.14336900436929323,1.7292585407020824,0.01958335177512089,0.0
glucose,roi_masked,1,glucose_01_c0_wG12,1,0.0,0.12390206388849645,0.1239020638884964,0.1239020638884964,0.2648654513888889,0.7749930620193481,2.9259877343589973,0.0,4.582293252476092,0.1388423249165216,1.7300456622212073,0.018886654855065136,5.551115123125783e-17
glucose,roi_masked,1,glucose_01_c0_wH05,1,0.0,0.3064870273871598,0.3064870273871598,0.3064870273871598,0.2674696180555556,0.793348491191864,2.9661256368455247,0.0,4.4284434363317775,0.11741614834936609,1.6556809212670855,0.016028843477821922,0.0
glucose,roi_masked,1,glucose_02_c0.01_wA06,2,0.01,0.1432076410392158,0.1432076410392158,0.13320764103921579,0.2648654513888889,0.766991913318634,2.8957793826892795,0.0,4.535473111908042,0.12788854899733781,1.712368709518415,0.01739661797135742,0.0
glucose,roi_masked,1,glucose_02_c0.01_wA11,2,0.01,-0.23159735641968293,0.0,0.01,0.2687717013888889,0.7795005440711975,2.9002329487929575,0.0,4.946027415016854,0.1333604599586744,1.8402336962775665,0.018237869104898996,2.7755575615628914e-17
glucose,roi_masked,1,glucose_02_c0.01_wA12,2,0.01,-0.22987611134321817,0.0,0.01,0.2718098958333333,0.7725161910057068,2.8421194476281815,0.0,4.947906182088086,0.11919074684712339,1.8203554241167188,0.01636808110479942,8.326672684688674e-17
glucose,roi_masked,1,glucose_02_c0.01_wC01,2,0.01,-0.4110754785277253,0.0,0.01,0.2679036458333333,0.7620065212249756,2.8443305385214157,0.0,5.102155103722459,0.10045214933759894,1.9044739342205825,0.013721165085153576,0.0
glucose,roi_masked,1,glucose_02_c0.01_wC03,2,0.01,0.11956013061094595,0.1195601306109459,0.10956013061094591,0.2692057291666667,0.782290518283844,2.9059207644110865,0.0,4.602303286402302,0.10878125545709239,1.7095859366176387,0.014885345958315718,4.163336342344337e-17
glucose,roi_masked,1,glucose_02_c0.01_wC09,2,0.01,-0.08783616458790622,0.0,0.01,0.2683376736111111,0.7843177914619446,2.9228761690712823,0.0,4.809467976987364,0.08703376388260242,1.7923193237329376,0.011895345809610915,1.3877787807814457e-17
glucose,roi_masked,1,glucose_02_c0.01_wD02,2,0.01,0.0004792758852909529,0.0004792758852909,0.009520724114709101,0.2674696180555556,0.777320384979248,2.90620067666075,0.0,4.6899395283661525,0.1497765910025448,1.7534475737696738,0.020446468118492864,5.2909066017292616e-17
glucose,roi_masked,1,glucose_02_c0.01_wD03,2,0.01,-0.14613831478492223,0.0,0.01,0.2679036458333333,0.7797898054122925,2.910709941952081,0.0,4.869813732437813,0.11837929705164907,1.8177482121566177,0.01616990664929595,2.7755575615628914e-17
glucose,roi_masked,1,glucose_02_c0.01_wE02,2,0.01,-0.23893942424527026,0.0,0.01,0.2687717013888889,0.7743776440620422,2.88117253438667,0.0,4.941149633222191,0.1461839945822483,1.8384188542501299,0.019991566910075684,5.551115123125783e-17
glucose,roi_masked,1,glucose_02_c0.01_wE03,2,0.01,-0.23799299825712428,0.0,0.01,0.2692057291666667,0.7822691798210144,2.9058414998913618,0.0,4.953196768560502,0.1151804807332768,1.8399299241859564,0.015760999412589148,8.326672684688674e-17
glucose,roi_masked,1,glucose_02_c0.01_wE08,2,0.01,-0.09055758723367102,0.0,0.01,0.2709418402777778,0.7897668480873108,2.9148943820475193,0.0,4.829108506120637,0.14598053489358964,1.782341369339519,0.020023167280537612,2.7755575615628914e-17
glucose,roi_masked,1,glucose_02_c0.01_wE10,2,0.01,0.12972515184669753,0.1297251518466975,0.1197251518466975,0.2679036458333333,0.7993322014808655,2.9836555564389053,0.0,4.607633800843217,0.11710279653923816,1.7198846945553299,0.015995544284950626,2.7755575615628914e-17
glucose,roi_masked,1,glucose_02_c0.01_wE11,2,0.01,-0.36439481833576615,0.0,0.01,0.2648654513888889,0.774280846118927,2.9232987619139825,0.0,5.071963437828822,0.14809038399379393,1.91492073097216,0.02014466389500819,5.551115123125783e-17
glucose,roi_masked,1,glucose_02_c0.01_wF01,2,0.01,0.021351213926783075,0.021351213926783,0.011351213926782998,0.2687717013888889,0.767426073551178,2.8553083140281212,0.0,4.650576623363307,0.12255400318783582,1.7303073944657343,0.01676001919244836,7.632783294297951e-17
glucose,roi_masked,1,glucose_02_c0.01_wF12,2,0.01,-0.06431925059384458,0.0,0.01,0.2687717013888889,0.7710011601448059,2.8686098877248813,0.0,4.754190460612295,0.12523600800742152,1.7688582674607554,0.017126799967300738,8.326672684688674e-17
glucose,roi_masked,1,glucose_02_c0.01_wG06,2,0.01,0.14934169184838098,0.1493416918483809,0.13934169184838088,0.2679036458333333,0.7838543653488159,2.9258816650687276,0.0,4.581777623014392,0.1348563465541588,1.7102333970717147,0.018420573437722354,8.326672684688674e-17
glucose,roi_masked,1,glucose_02_c0.01_wG09,2,0.01,-0.06468197422665956,0.0,0.01,0.2722439236111111,0.7880868315696716,2.8947820804089655,0.0,4.793478362251441,0.1452618563455852,1.760729238202841,0.019960239571804286,5.551115123125783e-17
glucose,roi_masked,1,glucose_02_c0.01_wG11,2,0.01,-0.0053533679095592035,0.0,0.01,0.2670355902777778,0.7698214650154114,2.8828421867460507,0.0,4.693687680866906,0.1046690604189866,1.7577011648463796,0.014280237761974547,3.469446951953614e-18
glucose,roi_masked,1,glucose_02_c0.01_wG12,2,0.01,0.037485845949358776,0.0374858459493587,0.027485845949358698,0.2683376736111111,0.7656269073486328,2.8532218269813994,0.0,4.664590133384629,0.11938345621955104,1.738328454074919,0.016316742288586424,7.632783294297951e-17
glucose,roi_masked,1,glucose_02_c0.01_wH05,2,0.01,0.033187312096590205,0.0331873120965902,0.023187312096590196,0.2744140625,0.7973043322563171,2.9054791324927716,0.0,4.692116728695242,0.09100501033013053,1.7098674484640315,0.012542278678069133,6.938893903907228e-18
glucose,roi_masked,1,glucose_03_c0.05_wA06,3,0.05,-0.18567558892162772,0.0,0.05,0.2687717013888889,0.7575253844261169,2.81847151508724,0.0,4.854574599268742,0.11347157861248469,1.8062074891748374,0.01551794136359488,2.7755575615628914e-17
glucose,roi_masked,1,glucose_03_c0.05_wA11,3,0.05,0.5843691645109557,0.5843691645109557,0.5343691645109556,0.2679036458333333,0.78106290102005,2.915462007209713,0.0,4.111964055616665,0.10961858564349214,1.5348667775035716,0.014973245669044368,0.0
glucose,roi_masked,1,glucose_03_c0.05_wA12,3,0.05,-0.0627723995362306,0.0,0.05,0.2722439236111111,0.7517160773277283,2.761185878299061,0.0,4.77306945924259,0.0949905905326327,1.7532326877791835,0.013052531420139304,0.0
glucose,roi_masked,1,glucose_03_c0.05_wC01,3,0.05,-0.12162122322156055,0.0,0.05,0.2744140625,0.7660759687423706,2.7916789750611657,0.0,4.804279518519138,0.10232190804198904,1.7507410060368676,0.014101969560564842,4.163336342344337e-17
glucose,roi_masked,1,glucose_03_c0.05_wC03,3,0.05,0.1127770792293461,0.1127770792293461,0.0627770792293461,0.2648654513888889,0.7634109854698181,2.8822595829946103,0.0,4.552392517015444,0.1262688346852716,1.7187566340358187,0.01717628901047178,0.0
glucose,roi_masked,1,glucose_03_c0.05_wC09,3,0.05,-0.02844146373398182,0.0,0.05,0.2679036458333333,0.7702720761299133,2.8751832537923376,0.0,4.729713856929738,0.12838943410170867,1.7654533376048793,0.017537231727899023,2.0816681711721685e-17
glucose,roi_masked,1,glucose_03_c0.05_wD02,3,0.05,-0.19294837693150768,0.0,0.05,0.2726779513888889,0.7686190605163574,2.8187796505048746,0.0,4.874947443925236,0.09812809023250413,1.787804044696179,0.013491697442678773,8.326672684688674e-17
glucose,roi_masked,1,glucose_03_c0.05_wD03,3,0.05,-0.015349967524365127,0.0,0.05,0.2683376736111111,0.7659748792648315,2.85451859575604,0.0,4.691353170065475,0.1087597548246313,1.7483020952415456,0.014864747152065877,2.6020852139652106e-17
glucose,roi_masked,1,glucose_03_c0.05_wE02,3,0.05,-0.11470837172547377,0.0,0.05,0.2679036458333333,0.7654057145118713,2.8570186573274228,0.0,4.79833384709392,0.09474612037835328,1.7910670204462362,0.01294175552700317,6.938893903907228e-17
glucose,roi_masked,1,glucose_03_c0.05_wE03,3,0.05,-0.14539495032557426,0.0,0.05,0.2731119791666667,0.7716683745384216,2.8254651329940774,0.0,4.836604674254691,0.09348912969910206,1.7709236661871763,0.012861558729764513,5.551115123125783e-17
