analyte,input_mode,outer_fold,central_area_fraction,central_attention_fraction,central_attention_enrichment,positive_central_attention_fraction,center_occlusion_change,outer_occlusion_change,center_occlusion_change_per_10pct_area,outer_occlusion_change_per_10pct_area,prediction_reproduction_difference
glucose,full_patch,1,0.26953125,0.4700092061846094,1.7438750673408048,0.15917303999562923,3.8500532054327197,5.9804497931634355,1.4274959628399717,0.8192990565277825,3.552713678800501e-15
glucose,full_patch,2,0.26947777528575223,0.4481179252195586,1.6627467812916903,0.19348246423620358,1.3608047811431812,1.506957500514683,0.5030556302854214,0.20682183113015715,3.552713678800501e-15
glucose,full_patch,3,0.26958783974614564,0.4281501796399577,1.5885660937150907,0.19473103275017795,0.1876938361847526,0.8254094257181382,0.0690533490730012,0.11274600959564786,3.552713678800501e-15
glucose,full_patch,4,0.26944870165470497,0.4337289662782156,1.6099905059216242,0.21266248638353152,2.5687321218233565,3.18496115154967,0.9553562477673898,0.4365057641684099,3.552713678800501e-15
glucose,full_patch,5,0.26929295005980863,0.4480088301109925,1.6636623558420134,0.2582469873101677,2.6800725497831044,2.4871053688448463,0.992516150160809,0.3395224867319524,3.552713678800501e-15
glucose,roi_masked,1,0.26953125,0.763964690674435,2.8344870798273876,0.2609222754400724,4.588675170240846,0.103506632706579,1.7097266925408352,0.014196040135648135,3.552713678800501e-15
glucose,roi_masked,2,0.26947777528575223,0.7239328614262303,2.6865182016529614,0.20791535970020092,5.499685398717992,0.06466753188506758,2.028789839064543,0.008885880033588532,3.552713678800501e-15
glucose,roi_masked,3,0.26958783974614564,0.7895719406137056,2.9291056316934716,0.744557269032128,5.014056934108079,0.0917806257381697,1.865880162337653,0.012559023709027053,3.552713678800501e-15
glucose,roi_masked,4,0.26944870165470497,0.755268037604373,2.8031981681092977,0.3234093335744564,2.0089430448172143,0.02768369794903086,0.7465167189377448,0.003769481463250921,3.552713678800501e-15
glucose,roi_masked,5,0.26929295005980863,0.7330783146420164,2.722279777347157,0.449707137486041,5.199868386035411,0.08328707959633519,1.933894855219242,0.011363045530123244,3.552713678800501e-15
ketone,full_patch,1,0.27003580729166665,0.4091081149876118,1.5143071029881618,0.08295123232861695,0.4283572813141874,0.6693187788291179,0.15954410299063673,0.09188633111829014,1.7763568394002505e-15
ketone,full_patch,2,0.2701480263157895,0.42565298472580154,1.5754623713355473,0.11309406877007765,0.8123347139177798,0.9339182484139327,0.29970276746307434,0.1282123459390492,1.7763568394002505e-15
ketone,full_patch,3,0.27011090551900585,0.364233280679113,1.348410129035748,0.11611209385547003,0.23986946825337857,0.4111729156638475,0.08854811846496054,0.056361910022499184,1.7763568394002505e-15
ketone,full_patch,4,0.2706048976608187,0.4175838143809846,1.543075392532654,0.10658779860106214,0.7468660781759928,1.832035618009149,0.27600618417979594,0.25188305099733643,1.7763568394002505e-15
ketone,full_patch,5,0.2705877649853801,0.4046511436861597,1.4951705045339219,0.09366927700656807,0.8739491835754867,2.4565664782530634,0.3218041845872336,0.3360017136883866,1.7763568394002505e-15
ketone,roi_masked,1,0.27003580729166665,0.8265727914869785,3.0607926791410556,0.46951623111070223,1.8535296083309565,0.028330906526497057,0.6862819053194484,0.003880295357161604,1.7763568394002505e-15
ketone,roi_masked,2,0.2701480263157895,0.7944355987404522,2.9409458013594927,0.22487662035776393,1.0836996285324805,0.014145574798319353,0.3997560376939491,0.0019358678296197702,1.7763568394002505e-15
ketone,roi_masked,3,0.27011090551900585,0.7477522947286305,2.7683847382243636,0.25760854847819786,0.8614228328088259,0.011189081742194181,0.3181338621786063,0.0015270107921523369,1.7763568394002505e-15
ketone,roi_masked,4,0.2706048976608187,0.7620144180561367,2.816226299541031,0.20017873008868767,1.8223571731827368,0.025789811194952605,0.6791530738922447,0.003539170573485762,1.7763568394002505e-15
ketone,roi_masked,5,0.2705877649853801,0.7858302306972051,2.9043936661248053,0.1988258306468418,1.875633344095243,0.029170998037356233,0.6943330411209961,0.004009554232869216,1.7763568394002505e-15
