analyte,outer_fold,feature_set,model,inner_best_mae,mae,rmse,r2,normalized_mae
glucose,1,G_only,SVR,2.378795986003629,2.337573124570084,3.8191988984111975,0.6731189005566685,0.1168786562285042
glucose,2,G_only,SVR,2.3800574867459825,2.413515703619932,3.9610219676309253,0.6483911812080072,0.1206757851809966
glucose,3,G_only,SVR,2.4161886219640456,2.205663338743258,3.7184643496071135,0.6901350164112521,0.11028316693716289
glucose,4,G_only,SVR,2.4070559367072146,2.475049381591023,3.83201620700229,0.6709211798016321,0.12375246907955115
glucose,5,G_only,SVR,2.3615669019885246,2.4609085688626244,4.148556386831106,0.614309224591116,0.12304542844313122
glucose,1,HSV_primary,ExtraTrees,0.3607784393939394,0.3662375757575757,0.914802297369616,0.9812457478662642,0.0183118787878787
glucose,2,HSV_primary,ExtraTrees,0.3614267323232323,0.3855955342902711,1.0318119128494976,0.9761413243740894,0.0192797767145135
glucose,3,HSV_primary,ExtraTrees,0.3476220478807515,0.4092119592074137,1.0326961427737005,0.9761004146032,0.0204605979603706
glucose,4,HSV_primary,RandomForest,0.3865128484848486,0.3278874003189793,0.837191520678901,0.9842929401246608,0.0163943700159489
glucose,5,HSV_primary,ExtraTrees,0.3793693232323232,0.2974874003189793,0.846283075181496,0.983949943401532,0.0148743700159489
glucose,1,Hue_only,SVR,0.537091610051702,0.5629010085842009,1.3262204205819788,0.9605836252218181,0.028145050429210044
glucose,2,Hue_only,ExtraTrees,0.47483492124665433,0.5546439889809545,1.4991256923706378,0.9496358682036068,0.02773219944904772
glucose,3,Hue_only,ExtraTrees,0.4996261334011587,0.6111233082552543,1.4747935195277224,0.9512575114455514,0.030556165412762716
glucose,4,Hue_only,SVR,0.5342438763961542,0.5510473933152621,1.2474683503291892,0.9651257939649516,0.027552369665763105
glucose,5,Hue_only,ExtraTrees,0.5440357417535859,0.46302410990293313,1.1003940462714685,0.9728642567692282,0.023151205495146657
glucose,1,RGB_primary,ExtraTrees,0.5614895404481842,0.5002884993615243,0.9769649507158412,0.978610372372626,0.0250144249680762
glucose,2,RGB_primary,ExtraTrees,0.5259926843434343,0.581209144072302,1.2864975060323085,0.9629094601506688,0.0290604572036151
glucose,3,RGB_primary,ExtraTrees,0.5531304755764783,0.544434309944903,1.1680056772162395,0.9694272035632672,0.0272217154972451
glucose,4,RGB_primary,ExtraTrees,0.5534989738939761,0.5138895717048306,1.2080472571265335,0.9672950789978014,0.0256944785852415
glucose,5,RGB_primary,ExtraTrees,0.5864209906324162,0.5050831239795228,1.2225917948750398,0.9665028227885948,0.0252541561989761
ketone,1,G_only,SVR,0.5916735908001651,0.6236859619496835,1.3300058968959294,0.8454558109318189,0.06236859619496835
ketone,2,G_only,SVR,0.6155509269606101,0.5229403672679902,1.1216045646183295,0.8900930684415774,0.05229403672679902
ketone,3,G_only,SVR,0.6031576135908463,0.6032233339887295,1.3365954676275873,0.8439206257562168,0.060322333398872954
ketone,4,G_only,SVR,0.5860478712826556,0.6561068564489598,1.5037596580052714,0.802438458433931,0.06561068564489599
ketone,5,G_only,SVR,0.6123859202049515,0.5672167992385314,1.1998569142512148,0.8742220639227551,0.056721679923853144
ketone,1,HSV_primary,RandomForest,0.0405797777777777,0.0347870833333333,0.2206310002016942,0.9957471642050212,0.0034787083333333
ketone,2,HSV_primary,RandomForest,0.0431466944444444,0.0102149122807017,0.0394362443498497,0.999864125911167,0.0010214912280701
ketone,3,HSV_primary,RandomForest,0.0374456180555555,0.0649662280701754,0.4095923659299208,0.9853428593913434,0.0064966228070175
ketone,4,HSV_primary,RandomForest,0.0282937708333333,0.0459535087719298,0.3402342115564663,0.9898864992936124,0.0045953508771929
ketone,5,HSV_primary,RandomForest,0.0245183819444444,0.0459925438596491,0.4076946512823175,0.985478363061024,0.0045992543859649
ketone,1,Hue_only,RandomForest,0.045505659722222244,0.04281083333333335,0.23866735451483745,0.9950234131748988,0.004281083333333335
ketone,2,Hue_only,RandomForest,0.04406100694444447,0.011345175438596512,0.04024670666850667,0.9998584837721273,0.0011345175438596511
ketone,3,Hue_only,RandomForest,0.03991032638888891,0.0716964912280702,0.41268060607639284,0.9851210026515482,0.00716964912280702
ketone,4,Hue_only,RandomForest,0.031523562500000026,0.04013157894736845,0.3285682629101795,0.9905681524947867,0.004013157894736845
ketone,5,Hue_only,RandomForest,0.029510930555555575,0.05317763157894738,0.4112875001832873,0.9852212885980972,0.005317763157894738
ketone,1,RGB_primary,ExtraTrees,0.0930374015462135,0.074736124124251,0.292331473222714,0.9925338502318491,0.0074736124124251
ketone,2,RGB_primary,ExtraTrees,0.1020101770833333,0.0543155701754385,0.1585435738756114,0.9978039469123487,0.0054315570175438
ketone,3,RGB_primary,ExtraTrees,0.086151283216223,0.1125099077683725,0.515944505150868,0.9767431158196056,0.0112509907768372
ketone,4,RGB_primary,ExtraTrees,0.0851636944444444,0.1252063596491227,0.439650436160459,0.9831126865823034,0.0125206359649122
ketone,5,RGB_primary,ExtraTrees,0.0944059927669471,0.0658111021902449,0.2020341393177121,0.9964338872457422,0.0065811102190244
