analyte,feature_set,mae_mean,mae_std,rmse_mean,r2_mean,normalized_mae_mean,selected_models
glucose,G_only,2.378542023477384,0.11055153389320782,3.8958515618965266,0.6593751005137352,0.11892710117386922,SVR
glucose,HSV_primary,0.35728397397864387,0.04477168705325307,0.9325569897706423,0.9803460740739492,0.017864198698932122,"ExtraTrees, RandomForest"
glucose,Hue_only,0.5485479618077209,0.05357103201494816,1.3296004058161994,0.9598934111210312,0.027427398090386045,"ExtraTrees, SVR"
glucose,RGB_primary,0.5289809298126166,0.03386998339471472,1.1724214371931925,0.9689489875745917,0.0264490464906308,ExtraTrees
ketone,G_only,0.5946346637787789,0.051449939507238966,1.2983645002796664,0.8512260054972598,0.059463466377877895,SVR
ketone,HSV_primary,0.04038285526315786,0.020051561363872296,0.28351769466404975,0.9912638023724336,0.00403828552631574,RandomForest
ketone,Hue_only,0.043832342105263176,0.0219880670355236,0.2862900860706407,0.9911584681382916,0.0043832342105263175,RandomForest
ketone,RGB_primary,0.08651581278148592,0.030728460425641358,0.32170082554547286,0.9893254973583698,0.00865158127814854,ExtraTrees
