analyte,outer_fold,feature_set,model,inner_best_mae,best_parameters
glucose,5,Hue_only,RandomForest,0.5502164155461198,"{""max_depth"": 8, ""min_samples_leaf"": 3, ""target_transform"": ""raw""}"
glucose,5,Hue_only,ExtraTrees,0.5440357417535859,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,1,G_only,Ridge,0.9740113897025786,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
ketone,1,G_only,ElasticNet,0.9752845891694346,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,1,G_only,SVR,0.5916735908001651,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,1,G_only,RandomForest,0.6082774978790099,"{""max_depth"": null, ""min_samples_leaf"": 3, ""target_transform"": ""log1p""}"
ketone,1,G_only,ExtraTrees,0.6256744220846306,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,1,Hue_only,Ridge,0.4353280363863921,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
ketone,1,Hue_only,ElasticNet,0.4361092516709449,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,1,Hue_only,SVR,0.13705671424966442,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,1,Hue_only,RandomForest,0.045505659722222244,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,1,Hue_only,ExtraTrees,0.054910911679922694,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,2,G_only,Ridge,0.9748832470142048,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
ketone,2,G_only,ElasticNet,0.9761547573471454,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,2,G_only,SVR,0.6155509269606101,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
