mae,rmse,r2,spearman_rho,normalized_mae,normalized_rmse,mean_absolute_log1p_error,unclipped_mae,clipped_fraction,analyte,input_mode,model,outer_fold,target_transform,best_epoch,epochs_run,training_seconds,inference_seconds,inference_ms_per_patch,parameter_count,model_size_bytes,validation_mae,evaluation_unit,n_observations
0.4633782444999741,0.8813508289378269,0.982592239944453,0.9089451432881533,0.023168912224998707,0.044067541446891345,0.11395397421963319,0.5066281161283985,0.2,glucose,roi_masked,TinyColorCNN,1,raw,85,103,20.437781300002825,0.026519599996390752,0.1205436363472307,169049,687811,0.44481180561802847,patch,220
0.21118745914943887,0.27566693226958344,0.9982970001733218,0.9066082746806284,0.010559372957471943,0.013783346613479172,0.07913031454952937,0.2275720286201321,0.18181818181818182,glucose,roi_masked,TinyColorCNN,1,raw,85,103,20.437781300002825,0.026519599996390752,0.1205436363472307,169049,687811,0.44481180561802847,concentration_median,11
0.4375551488748678,0.784893667696777,0.9861940305551722,0.9092114348151115,0.02187775744374339,0.03924468338483885,0.10671787144419262,0.4918938950326689,0.20909090909090908,glucose,full_patch,TinyColorCNN,1,raw,59,77,16.563347300005262,0.0186249999969732,0.08465909089533273,169049,687811,0.4023239947267582,patch,220
0.18967923314502858,0.2664327634930494,0.998409181928033,0.926644502314687,0.00948396165725143,0.01332163817465247,0.07591087231534256,0.20264877726649394,0.2727272727272727,glucose,full_patch,TinyColorCNN,1,raw,59,77,16.563347300005262,0.0186249999969732,0.08465909089533273,169049,687811,0.4023239947267582,concentration_median,11
0.4945220102007491,1.0146975769638826,0.9769262329446505,0.9187899694143732,0.024726100510037454,0.05073487884819413,0.10412115739028215,0.5241634167253733,0.13875598086124402,glucose,roi_masked,TinyColorCNN,2,raw,71,89,19.617793400000664,0.02390949999971781,0.11439952152975029,169049,687811,0.4330124456064357,patch,209
0.28023176850513054,0.421079583740093,0.9960264962511165,0.9454545454545454,0.014011588425256526,0.021053979187004652,0.07095509930039018,0.2858330188999029,0.09090909090909091,glucose,roi_masked,TinyColorCNN,2,raw,71,89,19.617793400000664,0.02390949999971781,0.11439952152975029,169049,687811,0.4330124456064357,concentration_median,11
0.4170315527244755,0.9089740660513957,0.9814839543730245,0.951318930535395,0.020851577636223775,0.04544870330256979,0.07763702929469868,0.4863844554498648,0.11483253588516747,glucose,full_patch,TinyColorCNN,2,log1p,67,85,18.31277560000308,0.020232900002156384,0.09680813398160949,169049,687811,0.4258916923243474,patch,209
0.22334181904972195,0.4400075467355775,0.9956612411971449,0.9727272727272729,0.011167090952486098,0.022000377336778877,0.04803709774942521,0.22414192246965464,0.09090909090909091,glucose,full_patch,TinyColorCNN,2,log1p,67,85,18.31277560000308,0.020232900002156384,0.09680813398160949,169049,687811,0.4258916923243474,concentration_median,11
0.49931412265818337,1.0108301248359757,0.9771017859994214,0.9130290336469943,0.024965706132909167,0.05054150624179878,0.1041333233765127,0.5296059803632434,0.1674641148325359,glucose,roi_masked,TinyColorCNN,3,raw,58,76,16.64579730000696,0.019031399991945364,0.09105933010500174,169049,687811,0.4634375172536834,patch,209
0.25300419036876814,0.3682565502663727,0.9969608914092714,0.9430548384868849,0.012650209518438408,0.018412827513318637,0.07121399536851261,0.2638744086566423,0.18181818181818182,glucose,roi_masked,TinyColorCNN,3,raw,58,76,16.64579730000696,0.019031399991945364,0.09105933010500174,169049,687811,0.4634375172536834,concentration_median,11
0.34840431612666056,0.696227449370477,0.9891370560007898,0.9373737095600962,0.017420215806333027,0.03481137246852385,0.07911975953154812,0.38349620994044026,0.07655502392344497,glucose,full_patch,TinyColorCNN,3,log1p,114,120,25.42804110000725,0.019293500008643605,0.09231339717054356,169049,687811,0.35916278942195645,patch,209
0.20625754449610822,0.35061249286183804,0.9972451368459315,0.9454545454545454,0.010312877224805412,0.0175306246430919,0.04902564568910151,0.20625754449610822,0.0,glucose,full_patch,TinyColorCNN,3,log1p,114,120,25.42804110000725,0.019293500008643605,0.09231339717054356,169049,687811,0.35916278942195645,concentration_median,11
0.4656852035956594,0.852548312991302,0.9837114188467164,0.9243476509296293,0.02328426017978297,0.0426274156495651,0.10576989617498236,0.5252625815477626,0.06220095693779904,glucose,roi_masked,TinyColorCNN,4,log1p,53,71,15.096739299988258,0.01881189999403432,0.09000909088054698,169049,687811,0.45605380521180633,patch,209
