analyte,input_mode,model,evaluation_unit,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,spearman_rho_mean,spearman_rho_std,normalized_mae_mean,normalized_mae_std,normalized_rmse_mean,normalized_rmse_std,mean_absolute_log1p_error_mean,mean_absolute_log1p_error_std,unclipped_mae_mean,unclipped_mae_std,clipped_fraction_mean,clipped_fraction_std,best_epoch_mean,best_epoch_std,epochs_run_mean,epochs_run_std,training_seconds_mean,training_seconds_std,inference_seconds_mean,inference_seconds_std,inference_ms_per_patch_mean,inference_ms_per_patch_std,parameter_count_mean,parameter_count_std,model_size_bytes_mean,model_size_bytes_std,validation_mae_mean,validation_mae_std
glucose,full_patch,TinyColorCNN,concentration_median,0.19616591774359182,0.02723082200135229,0.3294301002972927,0.08491112963523507,0.9974386937381698,0.0012607895664950256,0.9471470822811192,0.016456730927415123,0.009808295887179592,0.001361541100067615,0.01647150501486463,0.004245556481761754,0.05990464384166936,0.01227942192916501,0.19933490554318428,0.026375200919645226,0.09090909090909091,0.11134044285378082,82.0,22.825424421026653,97.6,18.915602025840997,21.353100220003398,4.520391721016028,0.01975780000211671,0.0008383499910973662,0.09364377991457884,0.005668869197808689,169049.0,0.0,687811.0,0.0,0.4106018395226873,0.038815352732344176
glucose,full_patch,TinyColorCNN,patch,0.4076761901327364,0.03551271017573796,0.7736203846456808,0.08195800600229698,0.9864673423269406,0.002975744721842015,0.9239165236759224,0.01964937255758575,0.02038380950663682,0.0017756355087868987,0.03868101923228404,0.004097900300114848,0.09641404734508115,0.0171686317010222,0.4594789109306392,0.048398869232638614,0.1336842105263158,0.048350933589864316,82.0,22.825424421026653,97.6,18.915602025840997,21.353100220003398,4.520391721016028,0.01975780000211671,0.0008383499910973662,0.09364377991457884,0.005668869197808689,169049.0,0.0,687811.0,0.0,0.4106018395226873,0.038815352732344176
glucose,roi_masked,TinyColorCNN,concentration_median,0.23003330206144082,0.039239876206585075,0.3297940324519584,0.06981805835994617,0.9974751855282878,0.0010436831594549936,0.9353871680880481,0.01651268860204914,0.01150166510307204,0.0019619938103292538,0.01648970162259792,0.003490902917997309,0.07368758378793391,0.005000252419452408,0.24036637447188122,0.0406920797280398,0.12727272727272726,0.049792959773196914,66.0,12.529964086141666,84.0,12.529964086141666,18.141568439998082,2.2107817051335337,0.022169039997970687,0.003287657573276302,0.10480308133017598,0.013764577416339737,169049.0,0.0,687811.0,0.0,0.4616589861693049,0.029881147900697128
glucose,roi_masked,TinyColorCNN,patch,0.4676425467659676,0.03348871154996783,0.9116375542837855,0.09696712242750478,0.9812067119093844,0.00398662495483965,0.9151583042749462,0.006340897548903003,0.02338212733829838,0.0016744355774983891,0.04558187771418927,0.004848356121375233,0.106214394741694,0.004431432872059334,0.5090056327257564,0.029103098867929462,0.13952153110047846,0.05129400838202491,66.0,12.529964086141666,84.0,12.529964086141666,18.141568439998082,2.2107817051335337,0.022169039997970687,0.003287657573276302,0.10480308133017598,0.013764577416339737,169049.0,0.0,687811.0,0.0,0.4616589861693049,0.029881147900697128
ketone,full_patch,TinyColorCNN,concentration_median,0.050104113276738194,0.023473241575153073,0.09123995389289474,0.06541578350447999,0.9989736073976306,0.00139854123464722,0.9964178784328028,0.003270014643466048,0.00501041132767382,0.0023473241575153077,0.009123995389289475,0.006541578350447999,0.02164987554367494,0.003210267252056328,0.10371084494610054,0.08495648612561485,0.25,0.15309310892394862,43.4,10.285912696499032,61.4,10.285912696499032,10.526087020005798,1.7741793653642688,0.01495664000394754,0.0010024103893035376,0.0974562960781393,0.0075944901238199315,169049.0,0.0,687778.0,0.0,0.13018144181561958,0.006402102749013443
ketone,full_patch,TinyColorCNN,patch,0.1470786262381656,0.015951598207862,0.3177188090545144,0.0637027860494119,0.9908971250298375,0.003412096023262225,0.9571304309487753,0.0116178338449087,0.01470786262381656,0.0015951598207862,0.03177188090545144,0.006370278604941191,0.04812360302207008,0.007493638992461599,0.23464971194681272,0.06925875750624154,0.2330921052631579,0.05294908343199239,43.4,10.285912696499032,61.4,10.285912696499032,10.526087020005798,1.7741793653642688,0.01495664000394754,0.0010024103893035376,0.0974562960781393,0.0075944901238199315,169049.0,0.0,687778.0,0.0,0.13018144181561958,0.006402102749013443
ketone,roi_masked,TinyColorCNN,concentration_median,0.042634986682615804,0.010931671351541132,0.0597301518155709,0.020593272056484143,0.9996586623345252,0.00024255087889055117,0.998805959477601,0.00266995577597361,0.004263498668261581,0.001093167135154113,0.00597301518155709,0.0020593272056484138,0.021765114758991712,0.005018688344654147,0.0757577850066693,0.04702026464201096,0.175,0.14252192813739226,68.0,39.38908478246226,82.8,34.679965397906614,14.260294419998536,6.062688148078419,0.016828440001700074,0.0034518601352470967,0.10962181580046156,0.02293299134486983,169049.0,0.0,687778.0,0.0,0.12983130894987832,0.023374447454456427
ketone,roi_masked,TinyColorCNN,patch,0.1443811871751455,0.02538997544351294,0.32918441438354096,0.08261176753392419,0.990055743882029,0.005085086046337733,0.9525105942685048,0.011462305504721628,0.014438118717514548,0.002538997544351294,0.032918441438354096,0.008261176753392416,0.04938888551675934,0.008142081941170052,0.1928741333195041,0.061456737391300954,0.17342105263157895,0.11595532380668674,68.0,39.38908478246226,82.8,34.679965397906614,14.260294419998536,6.062688148078419,0.016828440001700074,0.0034518601352470967,0.10962181580046156,0.02293299134486983,169049.0,0.0,687778.0,0.0,0.12983130894987832,0.023374447454456427
