mae,rmse,r2,spearman_rho,normalized_mae,normalized_rmse,mean_absolute_log1p_error,unclipped_mae,clipped_fraction,analyte,feature_set,model,outer_fold,evaluation_unit,n_observations,fit_seconds,predict_seconds,inner_best_mae
5.5100826446281,6.6800139802892256,0.0,,0.275504132231405,0.3340006990144613,1.1671083184368771,5.5100826446281,0.0,glucose,Baseline,DummyMean,1,patch,220,0.013246799993794411,3.429999924264848e-05,
5.5100826446281,6.6800139802892256,0.0,,0.275504132231405,0.3340006990144613,1.1671083184368773,5.5100826446281,0.0,glucose,Baseline,DummyMean,1,concentration_median,11,0.013246799993794411,3.429999924264848e-05,
1.3770904507377628,2.5450537973003646,0.8548425965634063,0.8932470137859863,0.06885452253688815,0.12725268986501823,0.18554711854061146,1.3902645996142664,0.08181818181818182,glucose,RGB_primary,Ridge,1,patch,220,0.13440320000518113,0.0013980999938212335,1.3953349869520668
1.350569232366891,2.378087495739877,0.8732637315341141,0.9181818181818183,0.06752846161834455,0.11890437478699385,0.17321671780627215,1.352811656641579,0.09090909090909091,glucose,RGB_primary,Ridge,1,concentration_median,11,0.13440320000518113,0.0013980999938212335,1.3953349869520668
1.3918487377113968,2.5820994943686917,0.8505860309676945,0.889917804453358,0.06959243688556985,0.12910497471843457,0.1867826806467018,1.4038504365835258,0.06363636363636363,glucose,RGB_primary,ElasticNet,1,patch,220,0.26924789999611676,0.001236099997186102,1.4160835042172337
1.3746297268538783,2.4539357195111724,0.8650503937477776,0.9181818181818183,0.06873148634269391,0.12269678597555862,0.1754684980046906,1.3752593917595355,0.09090909090909091,glucose,RGB_primary,ElasticNet,1,concentration_median,11,0.26924789999611676,0.001236099997186102,1.4160835042172337
0.6678367655737033,1.217076444162754,0.9668043657275374,0.9072462975026578,0.033391838278685165,0.060853822208137696,0.1293072954330183,0.6811190302806223,0.09090909090909091,glucose,RGB_primary,SVR,1,patch,220,2.00912660000904,0.008196700000553392,0.7052548691450988
0.3560652199789203,0.5125917001701299,0.9941117207660503,0.9454545454545454,0.017803260998946017,0.025629585008506494,0.08374198069491562,0.3561198754459369,0.09090909090909091,glucose,RGB_primary,SVR,1,concentration_median,11,2.00912660000904,0.008196700000553392,0.7052548691450988
0.6008108109412682,1.3325727578360291,0.9602051274210845,0.8969973686523132,0.03004054054706341,0.06662863789180146,0.1343695099141308,0.6008108109412682,0.0,glucose,RGB_primary,RandomForest,1,patch,220,5.62509260000661,0.008825500000966713,0.7112340117904011
0.32571435385113395,0.5220397308649191,0.9938926561571988,0.9454545454545454,0.016285717692556698,0.026101986543245952,0.07762218523575658,0.32571435385113395,0.0,glucose,RGB_primary,RandomForest,1,concentration_median,11,5.62509260000661,0.008825500000966713,0.7112340117904011
0.5002884993615243,0.9769649507158412,0.978610372372626,0.891500670489678,0.025014424968076217,0.04884824753579206,0.12264314010119928,0.5002884993615243,0.0,glucose,RGB_primary,ExtraTrees,1,patch,220,3.6034651000081794,0.00941330000932794,0.5614895404481842
0.21832833221896727,0.37013621003103603,0.9969297877180177,0.9454545454545454,0.010916416610948363,0.018506810501551802,0.06934327272580205,0.21832833221896727,0.0,glucose,RGB_primary,ExtraTrees,1,concentration_median,11,3.6034651000081794,0.00941330000932794,0.5614895404481842
1.0359244531980552,1.809028533374437,0.9266608130333679,0.9019620688450176,0.05179622265990276,0.09045142666872184,0.16189643567959525,1.0473838970137204,0.09090909090909091,glucose,HSV_primary,Ridge,1,patch,220,0.12413480000395793,0.0011561999999685213,1.0914181713540012
1.1002714893612289,1.8541970682545876,0.9229527686255334,0.9363636363636365,0.055013574468061446,0.09270985341272939,0.15934920841047043,1.1051825915243656,0.09090909090909091,glucose,HSV_primary,Ridge,1,concentration_median,11,0.12413480000395793,0.0011561999999685213,1.0914181713540012
1.0436055886021065,1.8270417815255056,0.9251930039795235,0.901984710728461,0.05218027943010532,0.09135208907627528,0.1620593911953501,1.0547319643648272,0.09090909090909091,glucose,HSV_primary,ElasticNet,1,patch,220,0.29152119999343995,0.001458500002627261,1.0989777867239159
1.1009349333198233,1.863516516766612,0.9221763223717266,0.9363636363636365,0.055046746665991166,0.09317582583833059,0.15873430424553714,1.1056857504941717,0.09090909090909091,glucose,HSV_primary,ElasticNet,1,concentration_median,11,0.29152119999343995,0.001458500002627261,1.0989777867239159
0.4001341675711218,0.8682329624092133,0.9831065715489896,0.9145588310458564,0.02000670837855609,0.043411648120460666,0.09100235964249254,0.45163816734405177,0.06363636363636363,glucose,HSV_primary,SVR,1,patch,220,2.9195030000119004,0.007215300007374026,0.4422136095988801
0.14792779080622773,0.22329475302659813,0.9988826163983154,0.9454545454545454,0.0073963895403113865,0.011164737651329906,0.06837739089521912,0.14792779080622773,0.0,glucose,HSV_primary,SVR,1,concentration_median,11,2.9195030000119004,0.007215300007374026,0.4422136095988801
0.33003606060606056,0.9290791695071637,0.9806558031355601,0.9246332956232303,0.016501803030303026,0.04645395847535819,0.07859808762320003,0.33003606060606056,0.0,glucose,HSV_primary,RandomForest,1,patch,220,6.032318600002327,0.007816700002877042,0.3706543737373737
0.08349999999999987,0.16214219130756855,0.9994108344652118,0.9454545454545454,0.004174999999999993,0.008107109565378428,0.05044426833739062,0.08349999999999987,0.0,glucose,HSV_primary,RandomForest,1,concentration_median,11,6.032318600002327,0.007816700002877042,0.3706543737373737
0.36623757575757576,0.9148022973696159,0.9812457478662642,0.9256039137149331,0.018311878787878787,0.0457401148684808,0.08142280734312603,0.36623757575757576,0.0,glucose,HSV_primary,ExtraTrees,1,patch,220,3.7237402999890037,0.008568400007789023,0.3607784393939394
0.13663939393939384,0.24438509290945606,0.9986615730294834,0.9454545454545454,0.006831969696969692,0.012219254645472803,0.04908919301607408,0.13663939393939384,0.0,glucose,HSV_primary,ExtraTrees,1,concentration_median,11,3.7237402999890037,0.008568400007789023,0.3607784393939394
0.8758953091570414,1.5830163974372347,0.9438414243646068,0.8913430255101369,0.04379476545785207,0.07915081987186173,0.14630395553638637,0.8890815284746103,0.09090909090909091,glucose,RGB_HSV_combined,Ridge,1,patch,220,0.12395989999640733,0.0012602000060724095,0.9312046367618564
0.9099368477714076,1.5964509671437404,0.9428841787402636,0.9454545454545454,0.04549684238857038,0.07982254835718702,0.13301654059219994,0.9136829861289116,0.09090909090909091,glucose,RGB_HSV_combined,Ridge,1,concentration_median,11,0.12395989999640733,0.0012602000060724095,0.9312046367618564
0.9325993255433306,1.6480495152013919,0.9391324573329297,0.895347957960443,0.04662996627716653,0.0824024757600696,0.1502101668085457,0.9443548764619648,0.08636363636363636,glucose,RGB_HSV_combined,ElasticNet,1,patch,220,0.3829526000045007,0.00134599999000784,0.9951436279855272
0.990870921418479,1.680003158033279,0.9367492829334259,0.9363636363636365,0.04954354607092395,0.08400015790166396,0.1422179434340185,0.9956816583173823,0.09090909090909091,glucose,RGB_HSV_combined,ElasticNet,1,concentration_median,11,0.3829526000045007,0.00134599999000784,0.9951436279855272
0.4069218987391564,0.8723870255851726,0.9829445315168502,0.9110908513654712,0.02034609493695782,0.04361935127925863,0.0913490738462456,0.4400797425667368,0.07272727272727272,glucose,RGB_HSV_combined,SVR,1,patch,220,2.8823543999897083,0.007434900006046519,0.4597443063271087
