analyte,feature_set,model,evaluation_unit,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,spearman_rho_mean,spearman_rho_std,normalized_mae_mean,normalized_mae_std,normalized_rmse_mean,normalized_rmse_std,mean_absolute_log1p_error_mean,mean_absolute_log1p_error_std,unclipped_mae_mean,unclipped_mae_std,clipped_fraction_mean,clipped_fraction_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std,inner_best_mae_mean,inner_best_mae_std
glucose,Background_adjusted_secondary,ExtraTrees,concentration_median,0.5959874260812781,0.07019514901941121,1.1455478711371978,0.2404008590732615,0.9695554632389444,0.01309754561492965,0.9272727272727274,0.02132007163556105,0.029799371304063904,0.003509757450970559,0.05727739355685989,0.012020042953663074,0.10051267418879564,0.011556538865171075,0.5959874260812781,0.07019514901941121,0.0,0.0,3.6894627800036686,0.1475053418980089,0.009838899999158457,0.0006600488048308867,1.089870518024282,0.05572212295515103
glucose,Background_adjusted_secondary,ExtraTrees,patch,1.015019980662694,0.056802136424638536,2.077912286652807,0.20967489299193834,0.9024509640960355,0.019241086842987608,0.8713510896048146,0.016841879906094426,0.0507509990331347,0.002840106821231919,0.10389561433264034,0.010483744649596897,0.18735468917599513,0.004668609559441703,1.015019980662694,0.056802136424638536,0.0,0.0,3.6894627800036686,0.1475053418980089,0.009838899999158457,0.0006600488048308867,1.089870518024282,0.05572212295515103
glucose,Background_negative_control,ExtraTrees,concentration_median,3.4576513484039397,0.4651379891819169,5.781387048324179,0.6170784177338431,0.24412573860625691,0.16213655491062715,0.766584780958709,0.12919262605413231,0.17288256742019698,0.023256899459095842,0.28906935241620896,0.03085392088669216,0.6183046358925293,0.10455103452039435,3.4576513484039397,0.4651379891819169,0.0,0.0,3.6441749999998136,0.14841376338120826,0.009705100001883692,0.0009191979964297018,4.092889959370076,0.07224513316484377
glucose,Background_negative_control,ExtraTrees,patch,4.134268386939588,0.2851310843399424,6.618615402854411,0.4053646334387917,0.015352326850731601,0.1225644764422281,0.3967690091335146,0.05322284437238853,0.20671341934697943,0.014256554216997116,0.33093077014272054,0.02026823167193958,0.8056687715086447,0.040281303981844555,4.134268386939588,0.2851310843399424,0.0,0.0,3.6441749999998136,0.14841376338120826,0.009705100001883692,0.0009191979964297018,4.092889959370076,0.07224513316484377
glucose,Baseline,DummyMean,concentration_median,5.510082644628099,0.0,6.680013980289226,0.0,0.0,0.0,,,0.27550413223140496,5.551115123125783e-17,0.3340006990144613,0.0,1.1671083184368773,0.0,5.510082644628099,0.0,0.0,0.0,0.0028686000005109236,0.005801720436349405,2.414000337012112e-05,6.103522530976048e-06,,
glucose,Baseline,DummyMean,patch,5.510082644628099,0.0,6.680013980289226,0.0,0.0,0.0,,,0.27550413223140496,5.551115123125783e-17,0.3340006990144613,0.0,1.1671083184368771,2.220446049250313e-16,5.510082644628099,0.0,0.0,0.0,0.0028686000005109236,0.005801720436349405,2.414000337012112e-05,6.103522530976048e-06,,
glucose,Chromaticity_secondary,ExtraTrees,concentration_median,0.37500512061588376,0.112274454234532,0.7711358002645274,0.2493965005720054,0.9855586741918367,0.008529863616197635,0.9436363636363637,0.004065578140908637,0.018750256030794187,0.0056137227117266,0.03855679001322637,0.012469825028600272,0.07325658528022508,0.008151599556249832,0.37500512061588376,0.112274454234532,0.0,0.0,3.1794116799981564,0.046418331953728624,0.00935903999779839,0.0003648918207047715,0.577311704215837,0.015761698836939904
glucose,Chromaticity_secondary,ExtraTrees,patch,0.5725219640532294,0.05882091988333059,1.3344811264391794,0.0681940569998799,0.9600076923089563,0.004115455335537966,0.8953980780554962,0.006493644055362601,0.02862609820266147,0.002941045994166529,0.06672405632195896,0.003409702849993998,0.10599584469237464,0.00319542997540865,0.5725219640532294,0.05882091988333059,0.0,0.0,3.1794116799981564,0.046418331953728624,0.00935903999779839,0.0003648918207047715,0.577311704215837,0.015761698836939904
glucose,HSV_primary,ElasticNet,concentration_median,1.0291259039763339,0.06862434667770577,1.8220046631242837,0.06341111707956455,0.9255328297106867,0.005218666955561033,0.9381818181818182,0.00406557814090863,0.05145629519881669,0.003431217333885288,0.09110023315621418,0.003170555853978228,0.1470701666304809,0.009843606418011096,1.0316459742217714,0.06968034155957407,0.09090909090909091,0.0,0.2764216599985957,0.015576712538808572,0.0013764600007561967,0.00014101071818996765,1.088892711106641,0.01040087066443558
glucose,HSV_primary,ElasticNet,patch,1.078513946456764,0.035077431603213444,1.8832468046992894,0.05854402654058739,0.92045820948046,0.004999545128450355,0.9059933225198282,0.00544599696020292,0.053925697322838195,0.0017538715801606755,0.09416234023496448,0.0029272013270293705,0.1660167301255247,0.0037248058858761483,1.0874647280182361,0.03472237676141666,0.08803827751196172,0.0054553848090867834,0.2764216599985957,0.015576712538808572,0.0013764600007561967,0.00014101071818996765,1.088892711106641,0.01040087066443558
