analyte,feature_set,model,outer_fold,target_transform,inner_best_mae,best_parameters
glucose,HSV_primary,ElasticNet,3,log1p,1.098199661133781,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
glucose,HSV_primary,SVR,3,raw,0.4183516353842395,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
glucose,HSV_primary,RandomForest,3,raw,0.35166687878787883,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,HSV_primary,ExtraTrees,3,log1p,0.3476220478807515,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,RGB_HSV_combined,Ridge,3,log1p,0.9379686264229468,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,RGB_HSV_combined,ElasticNet,3,log1p,0.994631166618199,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
glucose,RGB_HSV_combined,SVR,3,log1p,0.4348661028050224,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
glucose,RGB_HSV_combined,RandomForest,3,log1p,0.35428938779664754,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,RGB_HSV_combined,ExtraTrees,3,raw,0.35031350000000006,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,Chromaticity_secondary,ExtraTrees,3,log1p,0.5586247020083361,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
glucose,Background_adjusted_secondary,ExtraTrees,3,raw,1.0266721060606059,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,Background_negative_control,ExtraTrees,3,log1p,4.090175638475857,"{""max_depth"": null, ""min_samples_leaf"": 3, ""target_transform"": ""log1p""}"
glucose,RGB_primary,Ridge,4,log1p,1.386609220958822,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
glucose,RGB_primary,ElasticNet,4,log1p,1.404287682076852,"{""alpha"": 0.001, ""l1_ratio"": 0.8, ""target_transform"": ""log1p""}"
glucose,RGB_primary,SVR,4,log1p,0.7265341420691603,"{""C"": 100.0, ""epsilon"": 0.1, ""target_transform"": ""log1p""}"
