analyte,feature_set,folds,conceptual_channel_count,numeric_feature_count,float32_input_bytes_per_patch,model_size_bytes_mean,model_size_bytes_std,total_tree_nodes_mean,total_tree_nodes_std,mean_tree_depth,fit_seconds_mean,inference_ms_per_patch_median,mae_mean,mae_std,r2_mean,r2_std,normalized_mae_mean,full_feature_set,full_numeric_feature_count,full_input_bytes,full_model_size_bytes,full_tree_nodes,full_inference_ms,numeric_input_reduction_percent,model_size_change_percent,tree_node_change_percent,inference_time_change_percent
glucose,G_only,5,1,1,4,463761.0,40591.38285399994,19386.8,1978.121634278337,8.501333333333333,0.09309513999614864,0.03403755983796737,2.4709554624409344,0.124904835584326,0.626964977180337,0.0407621269609953,0.1235477731220467,RGB_primary,3,12,1315191.6,77882.0,0.03752751182876171,66.66666666666667,-64.73814157572176,-75.10747027554505,-9.299715917002482
glucose,HSV_primary,5,3,4,16,634658.2,149313.16522564244,38121.2,10439.223208649197,14.393333333333334,0.16243111998774112,0.03430167473206502,0.3432931770427415,0.0405742911720036,0.9802667460525806,0.0041075157676672,0.017164658852137,HSV_primary,4,16,634658.2,38121.2,0.03430167473206502,0.0,0.0,0.0,0.0
glucose,Hue_only,5,1,2,8,597267.0,344363.88142704515,34340.0,23652.350031233684,13.018666666666666,0.11780885999323801,0.032389318221248686,0.5327391578641573,0.0628955004704443,0.962029520020258,0.0102325149803576,0.0266369578932078,HSV_primary,4,16,634658.2,38121.2,0.03430167473206502,50.0,-5.891549183481748,-9.918890276276715,-5.575111203036009
glucose,RGB_primary,5,3,3,12,1315191.6,112341.21283972324,77882.0,3506.3756216355373,17.134666666666668,0.1513022199855186,0.03752751182876171,0.6308399249128323,0.0683616744620895,0.9585603605549242,0.0099663880444909,0.0315419962456415,RGB_primary,3,12,1315191.6,77882.0,0.03752751182876171,0.0,0.0,0.0,0.0
ketone,G_only,5,1,1,4,367262.0,33896.6373332223,16532.8,1542.8769231536262,8.7,0.08768409999320284,0.04360657897594042,0.6226133985743555,0.0435061374234153,0.8586417484808925,0.0183858904885419,0.0622613398574355,RGB_primary,3,12,471571.6,28743.6,0.04411052635221399,66.66666666666667,-22.11956784505258,-42.48180464520798,-1.1424651164886335
ketone,HSV_primary,5,3,4,16,309721.4,8858.854767970852,18634.8,669.2347869021753,13.105333333333334,0.12684132001595572,0.04093421031077588,0.0403828552631578,0.0200515613638722,0.9912638023724336,0.0064127204811034,0.0040382855263157,HSV_primary,4,16,309721.4,18634.8,0.04093421031077588,0.0,0.0,0.0,0.0
ketone,Hue_only,5,1,2,8,415564.6,12325.200842176975,26370.8,896.897541528574,15.036000000000001,0.10490382000571116,0.042469079122192374,0.0438323421052631,0.0219880670355236,0.9911584681382916,0.0063772571517868,0.0043832342105263,HSV_primary,4,16,309721.4,18634.8,0.04093421031077588,50.0,34.1736799588275,41.51372700538778,3.749599173316498
ketone,RGB_primary,5,3,3,12,471571.6,96341.100246987,28743.6,7163.278076411666,15.126666666666665,0.12350501997862011,0.04411052635221399,0.1375255843536541,0.0349666595726338,0.973119417447618,0.0174877724618923,0.0137525584353653,RGB_primary,3,12,471571.6,28743.6,0.04411052635221399,0.0,0.0,0.0,0.0
