analyte,feature_set,folds,conceptual_channel_count,numeric_feature_count,float32_input_bytes_per_patch,model_size_bytes_mean,model_size_bytes_std,total_tree_nodes_mean,total_tree_nodes_std,mean_tree_depth,fit_seconds_mean,inference_ms_per_patch_median,mae_mean,mae_std,r2_mean,r2_std,normalized_mae_mean,full_feature_set,full_numeric_feature_count,full_input_bytes,full_model_size_bytes,full_tree_nodes,full_inference_ms,numeric_input_reduction_percent,model_size_change_percent,tree_node_change_percent,inference_time_change_percent
glucose,G_only,5,1,1,4,336913.8,4607.635369688014,16584.8,256.4706610901138,8.0,0.05709630000637844,0.03425765539737837,2.46260482530236,0.1106445622182972,0.6367962448152149,0.036318288996528,0.1231302412651179,RGB_primary,3,12,2343363.2,138060.4,0.041510287057341,66.66666666666667,-85.62263843692689,-87.98728672378176,-17.47188991958565
glucose,HSV_primary,5,3,4,16,1635291.0,106224.39276362091,101838.0,3917.8243962689307,21.249333333333333,0.10779853999847547,0.039200681864961305,0.352212777806395,0.0500577525887038,0.9808871961167096,0.0048034936912368,0.0176106388903196,HSV_primary,4,16,1635291.0,101838.0,0.039200681864961305,0.0,0.0,0.0,0.0
glucose,Hue_only,5,1,2,8,1213404.0,910258.5438063737,71760.4,61816.34548240457,13.488,0.07656741999089718,0.03413431814723564,0.5319240661085284,0.0562869220069282,0.9624811965632146,0.0112648185706153,0.0265962033054264,HSV_primary,4,16,1635291.0,101838.0,0.039200681864961305,50.0,-25.79889450868378,-29.534751271627492,-12.92417242939371
glucose,RGB_primary,5,3,3,12,2343363.2,146777.93731245853,138060.4,4614.22569885783,19.856,0.10940310001606121,0.041510287057341,0.5289809298126166,0.0338699833947147,0.9689489875745916,0.0058899506363054,0.0264490464906308,RGB_primary,3,12,2343363.2,138060.4,0.041510287057341,0.0,0.0,0.0,0.0
ketone,G_only,5,1,1,4,369170.2,68844.0535246146,19417.6,5216.092100413872,9.121333333333334,0.05376089999917895,0.04451710514044144,0.6262998844096265,0.0281034943388461,0.8659626436238052,0.0135642461933678,0.0626299884409626,RGB_primary,3,12,1125618.0,68093.2,0.048395065708686354,66.66666666666667,-67.20288765815756,-71.48378986447986,-8.013132147786028
ketone,HSV_primary,5,3,4,16,834619.8,30688.03427559346,50743.6,1458.4055677348465,18.137333333333334,0.08028171999612824,0.04613421046279224,0.0448153114105166,0.0169511167551667,0.992834522611569,0.0048226906858325,0.0044815311410516,HSV_primary,4,16,834619.8,50743.6,0.04613421046279224,0.0,0.0,0.0,0.0
ketone,Hue_only,5,1,2,8,1075876.0,80251.94265249907,67994.4,3072.523197634152,19.621333333333332,0.07069631998892874,0.04761611834462536,0.05076958944162,0.0226681775902746,0.9892749590112676,0.0067459777048433,0.005076958944162,HSV_primary,4,16,834619.8,50743.6,0.04613421046279224,50.0,28.906119888361136,33.99601131965411,3.2121669948774745
ketone,RGB_primary,5,3,3,12,1125618.0,111034.97331021429,68093.2,4567.373993883138,18.816,0.0784276399994269,0.048395065708686354,0.0865158127814859,0.0307284604256413,0.9893254973583698,0.009077750061514,0.0086515812781485,RGB_primary,3,12,1125618.0,68093.2,0.048395065708686354,0.0,0.0,0.0,0.0
