analyte,comparison_model,evaluation_unit,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,spearman_rho_mean,spearman_rho_std,normalized_mae_mean,normalized_mae_std,normalized_rmse_mean,normalized_rmse_std,mean_absolute_log1p_error_mean,mean_absolute_log1p_error_std,unclipped_mae_mean,unclipped_mae_std,clipped_fraction_mean,clipped_fraction_std
glucose,Background only,concentration_median,3.4576513484039397,0.4651379891819169,5.781387048324179,0.6170784177338431,0.2441257386062569,0.16213655491062712,0.7665847809587091,0.12919262605413234,0.17288256742019695,0.02325689945909584,0.2890693524162089,0.03085392088669216,0.6183046358925293,0.10455103452039435,3.4576513484039397,0.4651379891819169,0.0,0.0
glucose,Background only,patch,4.134268386939588,0.2851310843399424,6.618615402854411,0.40536463343879153,0.015352326850731573,0.12256447644222807,0.39676900913351454,0.05322284437238853,0.20671341934697937,0.014256554216997105,0.3309307701427205,0.02026823167193958,0.8056687715086447,0.040281303981844555,4.134268386939588,0.2851310843399424,0.0,0.0
glucose,CNN central ROI,concentration_median,0.23003330206144076,0.03923987620658506,0.3297940324519583,0.06981805835994617,0.9974751855282878,0.0010436831594550068,0.9353871680880481,0.016512688602049148,0.011501665103072,0.001961993810329261,0.01648970162259788,0.0034909029179973007,0.07368758378793386,0.005000252419452407,0.24036637447188122,0.04069207972803982,0.12727272727272726,0.049792959773196914
glucose,CNN central ROI,patch,0.4676425467659676,0.033488711549967826,0.9116375542837855,0.09696712242750478,0.9812067119093844,0.003986624954839681,0.9151583042749462,0.006340897548902974,0.023382127338298343,0.001674435577498369,0.045581877714189215,0.004848356121375232,0.10621439474169396,0.004431432872059316,0.5090056327257564,0.02910309886792949,0.13952153110047846,0.05129400838202493
glucose,CNN full patch,concentration_median,0.19616591774359177,0.02723082200135227,0.3294301002972927,0.08491112963523507,0.9974386937381698,0.0012607895664950685,0.9471470822811192,0.016456730927415064,0.00980829588717954,0.001361541100067621,0.01647150501486458,0.004245556481761741,0.059904643841669325,0.012279421929164983,0.19933490554318425,0.026375200919645233,0.0909090909090909,0.11134044285378081
glucose,CNN full patch,patch,0.4076761901327363,0.03551271017573798,0.7736203846456808,0.08195800600229695,0.9864673423269406,0.0029757447218420117,0.9239165236759224,0.019649372557585733,0.02038380950663676,0.0017756355087868779,0.03868101923228398,0.004097900300114834,0.0964140473450811,0.017168631701022202,0.4594789109306392,0.048398869232638635,0.13368421052631574,0.0483509335898643
glucose,Mean baseline,concentration_median,5.510082644628099,0.0,6.680013980289226,0.0,0.0,0.0,,,0.27550413223140496,6.206335383118183e-17,0.3340006990144613,0.0,1.1671083184368771,0.0,5.510082644628099,0.0,0.0,0.0
glucose,Mean baseline,patch,5.510082644628099,0.0,6.680013980289226,0.0,0.0,0.0,,,0.27550413223140496,6.206335383118183e-17,0.3340006990144613,0.0,1.1671083184368771,0.0,5.510082644628099,0.0,0.0,0.0
glucose,Nested-selected ML,concentration_median,0.1143598783091299,0.01351372801891225,0.20195494026125754,0.024212076706230386,0.9990754731941255,0.00022749949210425552,0.9454545454545455,0.0,0.00571799391545642,0.0006756864009456186,0.01009774701306284,0.0012106038353114938,0.049643497012075884,0.005647046975337526,0.1143598783091299,0.01351372801891225,0.0,0.0
glucose,Nested-selected ML,patch,0.3508149213470649,0.046953366798271445,0.9121451549070887,0.11605676673856588,0.9811130599326399,0.004768036949918884,0.914935693020519,0.008038649586605806,0.01754074606735318,0.0023476683399135624,0.0456072577453544,0.005802838336928269,0.08183076877430896,0.004976664646463605,0.3508149213470649,0.046953366798271445,0.0,0.0
ketone,Background only,concentration_median,0.5283424388854727,0.18668161000897,1.0360113020159918,0.5081229076990877,0.8881820345290163,0.10174847373213722,0.9868654686232452,0.012951545584010253,0.05283424388854722,0.018668161000897014,0.10360113020159911,0.0508122907699088,0.13160816867572162,0.02602909702018824,0.5283424388854727,0.18668161000897,0.0,0.0
ketone,Background only,patch,0.8726931645503836,0.04705469662768906,1.7669588374470517,0.1738579115988194,0.7251162294336938,0.05538120998967746,0.9052793231302028,0.020297226079978147,0.08726931645503835,0.004705469662768932,0.17669588374470516,0.01738579115988192,0.22586981126313663,0.0151093442320267,0.8726931645503839,0.047054696627689525,0.0050657894736842,0.008162933503312477
ketone,CNN central ROI,concentration_median,0.04263498668261576,0.010931671351541154,0.05973015181557086,0.020593272056484146,0.9996586623345252,0.0002425508788905315,0.998805959477601,0.00266995577597361,0.00426349866826152,0.0010931671351541415,0.00597301518155706,0.0020593272056484138,0.02176511475899166,0.005018688344654121,0.07575778500666927,0.04702026464201095,0.175,0.14252192813739226
ketone,CNN central ROI,patch,0.14438118717514542,0.02538997544351295,0.3291844143835409,0.0826117675339242,0.990055743882029,0.00508508604633772,0.9525105942685046,0.011462305504721606,0.0144381187175145,0.0025389975443513026,0.03291844143835406,0.008261176753392404,0.0493888855167593,0.00814208194117007,0.19287413331950404,0.06145673739130095,0.17342105263157892,0.11595532380668676
ketone,CNN full patch,concentration_median,0.05010411327673814,0.023473241575153077,0.0912399538928947,0.06541578350447998,0.9989736073976306,0.001398541234647276,0.9964178784328028,0.003270014643466048,0.00501041132767376,0.0023473241575152994,0.00912399538928944,0.006541578350447972,0.02164987554367488,0.003210267252056339,0.10371084494610053,0.08495648612561485,0.25,0.15309310892394862
ketone,CNN full patch,patch,0.14707862623816553,0.01595159820786202,0.3177188090545144,0.0637027860494119,0.9908971250298375,0.0034120960232622588,0.9571304309487753,0.011617833844908708,0.0147078626238165,0.0015951598207862056,0.0317718809054514,0.006370278604941201,0.04812360302207002,0.007493638992461577,0.23464971194681267,0.06925875750624154,0.23309210526315788,0.052949083431992394
ketone,Mean baseline,concentration_median,2.70875,0.0,3.383196528432837,0.0,0.0,0.0,,,0.270875,0.0,0.3383196528432837,0.0,0.9299944503446052,0.0,2.70875,0.0,0.0,0.0
ketone,Mean baseline,patch,2.70875,0.0,3.383196528432837,0.0,8.88178419700125e-17,4.965068306494545e-17,,,0.270875,0.0,0.3383196528432837,0.0,0.9299944503446052,1.7554167342883506e-16,2.70875,0.0,0.0,0.0
ketone,Nested-selected ML,concentration_median,0.00206249999999998,0.0005980872288665856,0.0037701872647661998,0.0006967625429791298,0.9999987242119059,4.5237104854016213e-07,1.0,0.0,0.00020624999999997997,5.9808722886642263e-05,0.00037701872647657997,6.967625429791518e-05,0.0019584129460479597,0.0005595767987291117,0.00206249999999998,0.0005980872288665856,0.0,0.0
ketone,Nested-selected ML,patch,0.0407690833333333,0.019330848603770642,0.2844854360612443,0.15469215117188295,0.9912567247333659,0.006400863962697273,0.9744669853486805,0.003110813439188268,0.00407690833333328,0.0019330848603770817,0.028448543606124376,0.015469215117188295,0.015319241401566638,0.0041748115781847835,0.0407690833333333,0.019330848603770642,0.0,0.0
