analyte,outer_fold,comparison_model,training_seconds,inference_ms_per_patch,model_size_bytes,parameter_count,tree_count,total_tree_nodes
glucose,1,Nested-selected ML,0.148500099996454,0.0389911363692425,1418281,,150.0,86722.0
glucose,2,Nested-selected ML,0.1092860999924596,0.0393595694091937,1597187,,150.0,101180.0
glucose,3,Nested-selected ML,0.1122705000016139,0.040075598103852,1815107,,150.0,107440.0
glucose,4,Nested-selected ML,0.2180282000044826,0.0879071770488222,1505865,,150.0,92456.0
glucose,5,Nested-selected ML,0.2042194999958155,0.090146650727025,1612257,,150.0,101790.0
ketone,1,Nested-selected ML,0.2570720999938203,0.1017900000078952,297719,,150.0,17772.0
ketone,2,Nested-selected ML,0.3198422999994363,0.1094733553193356,300718,,150.0,17736.0
ketone,3,Nested-selected ML,0.2330740999896079,0.1119286183606355,322316,,150.0,19604.0
ketone,4,Nested-selected ML,0.2407954000082099,0.0989680920611135,306846,,150.0,18346.0
ketone,5,Nested-selected ML,0.2339632000075653,0.1019763158183195,311288,,150.0,18788.0
glucose,1,CNN central ROI,20.437781300002825,0.1205436363472307,687811,169049.0,,
glucose,1,CNN full patch,16.563347300005262,0.0846590908953327,687811,169049.0,,
glucose,2,CNN central ROI,19.617793400000664,0.1143995215297502,687811,169049.0,,
glucose,2,CNN full patch,18.31277560000308,0.0968081339816094,687811,169049.0,,
glucose,3,CNN central ROI,16.64579730000696,0.0910593301050017,687811,169049.0,,
glucose,3,CNN full patch,25.42804110000725,0.0923133971705435,687811,169049.0,,
glucose,4,CNN central ROI,15.096739299988258,0.0900090908805469,687811,169049.0,,
glucose,4,CNN full patch,26.82891739999468,0.0995071770558713,687811,169049.0,,
glucose,5,CNN central ROI,18.9097308999917,0.1080038277883501,687811,169049.0,,
glucose,5,CNN full patch,19.63241970000672,0.0949311004695371,687811,169049.0,,
ketone,1,CNN central ROI,15.389660500004538,0.1037025000186986,687778,169049.0,,
ketone,1,CNN full patch,10.709819100011371,0.0895518750439805,687778,169049.0,,
ketone,2,CNN central ROI,11.824304299996584,0.1499309210454444,687778,169049.0,,
ketone,2,CNN full patch,12.715140800006338,0.1036125000897108,687778,169049.0,,
ketone,3,CNN central ROI,5.151187199997366,0.1004105263411092,687778,169049.0,,
ketone,3,CNN full patch,9.004318200008129,0.095638815764687,687778,169049.0,,
ketone,4,CNN central ROI,18.328934100005423,0.1016151315860425,687778,169049.0,,
ketone,4,CNN full patch,8.505705399991712,0.1070065789367378,687778,169049.0,,
ketone,5,CNN central ROI,20.607385999988765,0.0924500000110128,687778,169049.0,,
ketone,5,CNN full patch,11.695451600011438,0.0914717105555801,687778,169049.0,,
