analyte,comparison,cluster_unit,clusters,bootstrap_repeats,mae_difference_cnn_minus_ml,ci95_lower,ci95_upper,normalized_difference_percent,normalized_ci95_lower_percent,normalized_ci95_upper_percent,bootstrap_fraction_positive
glucose,CNN central ROI,well_id,96,20000,0.11681634083231024,0.084494412947973,0.14869532396296517,0.5840817041615513,0.422472064739865,0.7434766198148258,1.0
glucose,CNN full patch,well_id,96,20000,0.057205643167913656,0.015629371228756107,0.09715331925698872,0.2860282158395683,0.07814685614378054,0.4857665962849437,0.99635
ketone,CNN central ROI,well_id,96,20000,0.10378091410706303,0.08289688511167065,0.123033555123934,1.0378091410706303,0.8289688511167064,1.2303355512393401,1.0
ketone,CNN full patch,well_id,96,20000,0.10637463098595962,0.085381853615162,0.1263592945268645,1.0637463098595963,0.8538185361516201,1.2635929452686452,1.0
