analyte,outer_fold,architecture,representation,target_transform,selected_target,epoch,training_loss,validation_mae,learning_rate
glucose,1,tiny,g,raw,1,7,0.2301725615154613,3.0615813914215746,0.001
glucose,1,tiny,g,raw,1,8,0.2351765695846442,2.8365181379227917,0.001
glucose,1,tiny,g,raw,1,9,0.23830011071580828,2.740949336814438,0.001
glucose,1,tiny,g,raw,1,10,0.24412552949154015,2.559778975177665,0.001
glucose,1,tiny,g,raw,1,11,0.22884626307270745,2.634475432438964,0.001
glucose,1,tiny,g,raw,1,12,0.23007301850752396,2.621607863707819,0.001
glucose,1,tiny,g,raw,1,13,0.2248180613373265,2.5604673647700213,0.001
glucose,1,tiny,g,raw,1,14,0.23147484678210634,2.5071305469139302,0.001
glucose,1,tiny,g,raw,1,15,0.23156456983450688,2.4778195728063888,0.001
glucose,1,tiny,g,raw,1,16,0.23358659166278262,2.4906435883722877,0.001
glucose,1,tiny,g,raw,1,17,0.21933838083888546,2.3975837954584907,0.001
glucose,1,tiny,g,raw,1,18,0.24282439531701983,2.4137458924248674,0.001
glucose,1,tiny,g,raw,1,19,0.22146110552729983,2.607044749523229,0.001
glucose,1,tiny,g,raw,1,20,0.2308836815032092,2.501132166361422,0.001
glucose,1,tiny,g,raw,1,21,0.24346705927993312,2.513474620889287,0.001
glucose,1,tiny,g,raw,1,22,0.2265017655762759,2.5717980787989974,0.001
glucose,1,tiny,g,raw,1,23,0.22052522807410269,2.442520226376858,0.001
glucose,1,tiny,g,raw,1,24,0.2247170155698603,2.452484842720669,0.001
glucose,1,tiny,g,raw,1,25,0.21579473434072552,2.573051246074944,0.0005
glucose,1,tiny,g,raw,1,26,0.21647952451850427,2.4271270713418196,0.0005
glucose,1,tiny,g,raw,1,27,0.21340958205136387,2.3891825096764645,0.0005
glucose,1,tiny,g,raw,1,28,0.21894796201677033,2.5010395754586154,0.0005
glucose,1,tiny,g,raw,1,29,0.21492289557601466,2.3706220859456533,0.0005
glucose,1,tiny,g,raw,1,30,0.2096789690581235,2.4340602606057833,0.0005
glucose,1,tiny,g,raw,1,31,0.2278190396048806,2.5269242907591907,0.0005
glucose,1,tiny,g,raw,1,32,0.20586825266028896,2.5587257614044083,0.0005
glucose,1,tiny,g,raw,1,33,0.22052127321561177,2.3589554770756367,0.0005
glucose,1,tiny,g,raw,1,34,0.23455080552534624,2.472732359253653,0.0005
glucose,1,tiny,g,raw,1,35,0.22188443704084918,2.6997253327533284,0.0005
glucose,1,tiny,g,raw,1,36,0.22392941704302122,2.317734601381111,0.0005
glucose,1,tiny,g,raw,1,37,0.21914471008560873,2.408641175939623,0.0005
glucose,1,tiny,g,raw,1,38,0.20901497024478335,2.4696278009671824,0.0005
glucose,1,tiny,g,raw,1,39,0.21711605660843128,2.4774123439845983,0.0005
glucose,1,tiny,g,raw,1,40,0.22264271468827218,2.656432673368603,0.0005
glucose,1,tiny,g,raw,1,41,0.22984792960412576,2.6372743913984835,0.0005
glucose,1,tiny,g,raw,1,42,0.2098617226788492,2.50609935323063,0.0005
glucose,1,tiny,g,raw,1,43,0.20561078190803528,2.6025475556187625,0.0005
glucose,1,tiny,g,raw,1,44,0.19937920299443332,2.3357945269129785,0.00025
glucose,1,tiny,g,raw,1,45,0.202551688840895,2.258085181214321,0.00025
glucose,1,tiny,g,raw,1,46,0.20318581606402542,2.463466662940859,0.00025
glucose,1,tiny,g,raw,1,47,0.21058047323515922,2.6117436712385635,0.00025
glucose,1,tiny,g,raw,1,48,0.20139453772342567,2.318494344656696,0.00025
glucose,1,tiny,g,raw,1,49,0.19848818937034318,2.4457744830375705,0.00025
glucose,1,tiny,g,raw,1,50,0.20296699359561457,2.651962525306021,0.00025
glucose,1,tiny,g,raw,1,51,0.20200502493164757,2.2689089605887443,0.00025
