mae,rmse,r2,spearman_rho,normalized_mae,normalized_rmse,unclipped_mae,clipped_fraction,analyte,architecture,representation,model,outer_fold,target_transform,best_epoch,epochs_run,training_seconds,validation_mae,parameter_count,model_size_bytes,evaluation_unit,n_observations
0.5057662703198502,0.9885601809822632,0.9780996284166459,0.8969290155381664,0.025288313515992512,0.04942800904911316,0.6867154251490238,0.33181818181818185,glucose,tiny,rgb,TinyColorCNN,1,raw,43,58,4.771012399985921,0.5228485017758802,169049,687809,patch,220
0.246383527573811,0.4185758133588513,0.9960736092596971,0.9358192003574065,0.012319176378690549,0.020928790667942565,0.39693841407811425,0.36363636363636365,glucose,tiny,rgb,TinyColorCNN,1,raw,43,58,4.771012399985921,0.5228485017758802,169049,687809,concentration_median,11
2.2788106379384425,3.6007166018960155,0.7094484882285423,0.7773950666432529,0.11394053189692213,0.1800358300948008,2.3587823623471276,0.045454545454545456,glucose,tiny,g,TinyColorCNN,1,raw,45,60,5.333824200031813,2.258085181214321,168617,685951,patch,220
1.7158947362072687,2.2564713374189327,0.885894941007014,0.9272727272727275,0.08579473681036344,0.11282356687094663,1.7158947362072687,0.0,glucose,tiny,g,TinyColorCNN,1,raw,45,60,5.333824200031813,2.258085181214321,168617,685951,concentration_median,11
0.5941957839306137,1.1561145417309833,0.9700465407734951,0.9013984254790165,0.029709789196530684,0.057805727086549165,0.6357293136156309,0.11818181818181818,glucose,tiny,hue_circular,TinyColorCNN,1,raw,65,80,8.1533546000137,0.5764783684620054,168833,687274,patch,220
0.39560488649378506,0.7010063225830194,0.9889874187088543,0.9363636363636365,0.019780244324689254,0.03505031612915097,0.3958244765925454,0.09090909090909091,glucose,tiny,hue_circular,TinyColorCNN,1,raw,65,80,8.1533546000137,0.5764783684620054,168833,687274,concentration_median,11
0.5151858450629896,0.8736740104559769,0.982894172398314,0.9006942833801157,0.02575929225314948,0.043683700522798845,0.5544808210445716,0.19090909090909092,glucose,lite,rgb,ColorLiteCNN,1,raw,59,74,17.065856400004122,0.5583041667843746,7945,55069,patch,220
0.2007289087096214,0.259252200636856,0.9984937739295314,0.9454545454545454,0.01003644543548107,0.0129626100318428,0.20487459524386153,0.09090909090909091,glucose,lite,rgb,ColorLiteCNN,1,raw,59,74,17.065856400004122,0.5583041667843746,7945,55069,concentration_median,11
0.5556835597804637,1.065459560433199,0.974559877476507,0.9012867689952855,0.027784177989023183,0.05327297802165994,0.6019893131368779,0.21052631578947367,glucose,tiny,rgb,TinyColorCNN,2,raw,62,77,9.65381950000301,0.4435771183938313,169049,687809,patch,209
0.3577551269435813,0.5271909661663534,0.9937715328742093,0.9339431975353206,0.017887756347179064,0.02635954830831767,0.38947162006012853,0.18181818181818182,glucose,tiny,rgb,TinyColorCNN,2,raw,62,77,9.65381950000301,0.4435771183938313,169049,687809,concentration_median,11
